,fid,mean_cruise_altitude,distance,mean_cruise_tas,takeoff_mass
87,34568a_2484,34999.93135011441,1610.339945381639,460.92986113877504,67010.98195725564
88,392ae7_2906,35927.3831775701,1059.58316557038,440.803063550117,63934.40438916447
89,392ae7_2909,37722.544642857145,937.9626110363446,438.2341122691611,59598.829876684365
90,392ae8_2919,34990.00943989931,1195.648794459372,428.7449407104498,66322.71604243515
91,392ae9_2927,34899.26988265971,1930.68567507438,455.85078187998266,67791.70094387258
92,392aeb_2930,36337.442748091606,860.3358798031028,444.4574303890348,62650.036115052775
93,392aeb_2936,37876.7004341534,856.3332806284484,447.3788034994306,59104.45882232128
94,392aee_2970,36001.774483378256,1117.9642237087055,433.4670051686346,63863.48741763338
95,392af0_2989,35001.60210766164,2148.0462613460154,445.4268095237881,67929.15271137666
96,392af1_3014,37895.62766605728,1368.0632466137297,436.8430266365272,59938.415409971305
97,392af5_3045,36926.31709741551,1046.0457199483649,440.33484685563,61614.66807113268
98,392af8_3048,34999.64673913043,968.703758817137,454.8276834129909,65911.41463141472
99,392af8_3051,36001.016746411486,1378.7661118769186,435.46727385320105,64312.4297133527
100,392af8_3054,36982.47422680412,1577.401147924102,450.9366512253764,62396.68610478027
